,SampleGName,CellType,SampleID,SampleTypeID
ri9832,ri9832,eMSCs,1,N1
ty0896,ty0896,eMSCs,2,N1
ei7645,ei7645,eMSCs,3,N1
ga2078,ga2078,eMSCs,4,N1
pk0139,pk0139,eMSCs,1,N2
sk9753,sk9753,eMSCs,2,N2
as9549,as9549,eMSCs,3,N2
yj7517,yj7517,eMSCs,4,N2
SRR5931953,SRR5931953,A549,1,N3
SRR5931954,SRR5931954,A549,2,N3
SRR5931961,SRR5931961,A549,1,N4
SRR5931962,SRR5931962,A549,2,N4
SRR8145428,SRR8145428,IMR90,1,N7
SRR8145429,SRR8145429,IMR90,2,N7
SRR8145430,SRR8145430,IMR90,3,N7
SRR8145446,SRR8145446,IMR90,1,N8
SRR8145447,SRR8145447,IMR90,2,N8
SRR8145448,SRR8145448,IMR90,3,N8
