"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez","genename"
"ENSG00000260534.1",8.83766971761372,15.8583712807451,5.16325942739941,9.39644665970955e-10,4.41931970854612e-07,NA,NA,NA
"ENSG00000179256.2",6.7827947698429,9.51002312686678,5.19606615337553,0.00115967423894012,0.0291324375661933,"SMCO3","440087","single-pass membrane protein with coiled-coil domains 3"
"ENSG00000135914.6",5858.22110501551,8.01983999952316,3.094217718948,1.8608191717892e-05,0.00134642629164356,"HTR2B","3357","5-hydroxytryptamine receptor 2B"
"ENSG00000189056.14",518.027997443825,7.1709253164102,1.87061092768895,4.7837580196031e-06,0.000478237142307568,"RELN","5649","reelin"
"ENSG00000172650.13",15.7162059957457,6.07641533094156,2.83809026722035,0.000151630013766269,0.00683623421542305,"AGAP5","729092","ArfGAP with GTPase domain, ankyrin repeat and PH domain 5"
"ENSG00000160323.18",8.64774045486473,6.06059112337505,2.56078971026405,1.24036198536053e-05,0.00100431280703995,"ADAMTS13","11093","ADAM metallopeptidase with thrombospondin type 1 motif 13"
"ENSG00000188610.12",14.0590127999964,5.90687850218684,3.07057458753158,0.000548610873538063,0.0173325021314583,"FAM72B","653820","family with sequence similarity 72 member B"
"ENSG00000138606.19",7.29700680266017,5.78115536725054,1.29409704439959,8.85746565362957e-07,0.000127289162664035,"SHF","90525","Src homology 2 domain containing F"
"ENSG00000268864.4",4.48896463112487,5.61855348045065,3.75603019860649,0.00186630314839171,0.0400778413732214,"LOC284379","284379","solute carrier family 7 member 3 pseudogene"
"ENSG00000259660.2",25.233381398967,5.403340864453,1.96076214870387,0.000126522861311822,0.00598675765654146,NA,NA,NA
"ENSG00000287387.1",722.139125940922,5.27447711527026,2.3086260545665,5.0110737009527e-06,0.000498553649843823,NA,NA,NA
"ENSG00000268006.1",8.99046109049344,5.25806420339334,1.70618228701306,3.40256858210947e-05,0.0021799614315224,"PTOV1-AS1","100506033","PTOV1 antisense RNA 1"
"ENSG00000131386.19",1162.05008758125,5.23115090193187,1.63167729655799,4.34573950528569e-05,0.00265282399181068,"GALNT15","117248","polypeptide N-acetylgalactosaminyltransferase 15"
"ENSG00000180447.7",324.28377512386,5.04939064873695,1.16381111079131,8.19848516475665e-07,0.000119478487323573,"GAS1","2619","growth arrest specific 1"
"ENSG00000285444.1",10.777354313593,5.01378096573982,2.04866338576423,0.000275908617831575,0.0108375394130919,NA,NA,NA
"ENSG00000062822.14",47.0310809797829,4.96765721239593,2.94182435212343,0.00121644259233325,0.0301473808452027,"POLD1","5424","DNA polymerase delta 1, catalytic subunit"
"ENSG00000286214.1",13.5439520618962,4.96717691654058,1.25709700637862,3.59237485866724e-06,0.000369853757837114,NA,NA,NA
"ENSG00000107317.13",42.6448795449087,4.92921014396176,1.44810153879376,2.19433796890172e-05,0.00154424302694301,"PTGDS","5730","prostaglandin D2 synthase"
"ENSG00000187950.8",7.62650347397694,4.9004145143535,1.70076111872962,9.69734705552314e-05,0.00484743717227383,"OVCH1","341350","ovochymase 1"
"ENSG00000255920.3",18.098701338116,4.64303271015025,1.37964712481418,5.32565209120966e-05,0.0030870880777449,"CCND2-AS1","103752584","CCND2 antisense RNA 1"
"ENSG00000261625.1",23.4449579319784,4.59475034708643,1.62410636399254,0.000231231316039401,0.0094970457820781,NA,NA,NA
"ENSG00000010932.17",40.2802384900389,4.56636247215751,3.69677509046002,0.00281580292348308,0.052354200987025,"FMO1","2326","flavin containing dimethylaniline monoxygenase 1"
"ENSG00000131620.17",132.092876987297,4.56474459134738,1.44396829540882,4.98207569755381e-05,0.00293729556937831,"ANO1","55107","anoctamin 1"
"ENSG00000106565.18",23.12566587157,4.51349015572586,1.24753776455228,1.48548938040379e-05,0.0011556660615818,"TMEM176B","28959","transmembrane protein 176B"
"ENSG00000235703.6",36.8169486162759,4.49209884731217,1.678453340116,0.000197834243630879,0.00835506497489269,"LINC00894","100272228","long intergenic non-protein coding RNA 894"
"ENSG00000273771.1",8.15227515053568,4.44904167659672,1.15448550721189,7.49567311438494e-06,0.000683328015106088,NA,NA,NA
"ENSG00000137507.11",142.36338528622,4.38222798611631,1.04515775589459,9.10594866673903e-07,0.00012995758738586,"LRRC32","2615","leucine rich repeat containing 32"
"ENSG00000077942.19",3759.58892672336,4.37858548159766,0.591508221416861,6.72386474974868e-15,1.73929571414124e-11,"FBLN1","2192","fibulin 1"
"ENSG00000231007.5",5.78837656665693,4.29964805385351,2.10710944956724,0.000953443784810912,0.02572217201891,NA,NA,NA
"ENSG00000143127.13",28.4893256045948,4.26576928138615,0.603995564250294,9.06201170937847e-14,1.70481154830798e-10,"ITGA10","8515","integrin subunit alpha 10"
"ENSG00000127951.7",65.1783311539667,4.24493807587506,1.61708383915303,0.000236381055356247,0.00964826343104965,"FGL2","10875","fibrinogen like 2"
"ENSG00000270953.1",3.48986525032809,4.19556993124718,1.72917714477169,0.000693248788885637,0.0205237345310434,NA,NA,NA
"ENSG00000002933.9",7.26276324036228,4.11019564424394,1.46411500513215,9.94884489846245e-05,0.00492539225666942,"TMEM176A","55365","transmembrane protein 176A"
"ENSG00000094963.14",74.2685816581604,4.09857746775879,2.30270718523031,0.000605816468518071,0.0186837049173069,"FMO2","2327","flavin containing dimethylaniline monoxygenase 2"
"ENSG00000187955.12",34.9321067698038,4.00315927949108,0.515115514259344,4.47892993787511e-16,1.54478293557313e-12,"COL14A1","7373","collagen type XIV alpha 1 chain"
"ENSG00000188783.6",620.563666259139,3.95891192900698,1.3610089276559,0.000133947312063402,0.00622900151874166,"PRELP","5549","proline and arginine rich end leucine rich repeat protein"
"ENSG00000105989.10",5493.7191120191,3.94739733650576,1.20153766793704,5.25843986119154e-05,0.00305668973279488,"WNT2","7472","Wnt family member 2"
"ENSG00000238035.8",9.08708761641382,3.8924546432593,2.0097374261017,0.00102761772029041,0.0268504054339516,NA,NA,NA
"ENSG00000272620.2",7.06814992841365,3.84134376938001,1.47426814539637,0.000417061699042401,0.0143391909243524,"AFAP1-AS1","84740","AFAP1 antisense RNA 1"
"ENSG00000105996.7",7.13441949541952,3.75579333811329,1.59045126387466,0.000427533516875347,0.0145516095365435,"HOXA2","3199","homeobox A2"
"ENSG00000169710.9",761.655425117954,3.72174107913106,1.75618386230356,0.00062844165754867,0.0191249583254591,"FASN","2194","fatty acid synthase"
"ENSG00000176928.7",213.24174699003,3.638268400136,1.51173361008932,0.000472899001906135,0.0154313224445972,"GCNT4","51301","glucosaminyl (N-acetyl) transferase 4"
"ENSG00000140548.10",95.9987840239799,3.62971564934018,1.14205735036783,8.47754830430923e-05,0.00443016122750948,"ZNF710","374655","zinc finger protein 710"
"ENSG00000165072.10",162.271915156097,3.56669976886879,1.73118176331796,0.00095424406796394,0.02572217201891,"MAMDC2","256691","MAM domain containing 2"
"ENSG00000279289.1",23.8465273127186,3.54147687060915,0.752818279220985,1.24301311143637e-07,2.57229133280642e-05,NA,NA,NA
"ENSG00000259172.1",40.1528075094479,3.53610932799062,0.943886024387721,8.5571201400252e-06,0.00074470962934381,NA,NA,NA
"ENSG00000267199.1",29.7294343364908,3.53406518237611,0.977262756467264,9.51998786712883e-06,0.000810726867993267,NA,NA,NA
"ENSG00000273763.2",34.9352867488885,3.52477765169248,1.42087584237422,0.000339836516285584,0.0123378541544103,NA,NA,NA
"ENSG00000177363.5",64.2659892633096,3.52340916155412,1.77691644404777,0.00121950517422209,0.0301871292767367,"LRRN4CL","221091","LRRN4 C-terminal like"
"ENSG00000111199.11",9.34693892433866,3.48558652090213,2.49476032466734,0.00200411826693429,0.0420046090982281,"TRPV4","59341","transient receptor potential cation channel subfamily V member 4"
"ENSG00000236714.3",11.7121848064339,3.36936978153768,1.36530826212877,0.000453697728969049,0.0150461871847524,"LINC01844","101926975","long intergenic non-protein coding RNA 1844"
"ENSG00000225415.2",201.479046465449,3.35240464490842,2.45232559759704,0.00246711067101863,0.0479866722464827,NA,NA,NA
"ENSG00000198885.9",13.6986324838293,3.34799553510043,1.70551129355168,0.000994765984122679,0.0263919067633778,"ITPRIPL1","150771","ITPRIP like 1"
"ENSG00000271009.3",3.17874597675153,3.32662589390269,1.95074120097842,0.0024859872576728,0.0481694946725476,NA,NA,NA
"ENSG00000146021.15",65.0488992003961,3.31368871829131,0.513297465226941,6.28968092264228e-12,5.6590720440504e-09,"KLHL3","26249","kelch like family member 3"
"ENSG00000160801.14",5.60267187123777,3.30562080219547,1.40852475515318,0.000667782543546933,0.0199986858989294,"PTH1R","5745","parathyroid hormone 1 receptor"
"ENSG00000261773.1",6.44305276357642,3.29963167259693,1.208349242931,0.000315792447422683,0.0117536131420234,NA,NA,NA
"ENSG00000226210.3",60.6664096682497,3.28687486339276,2.39273261041589,0.0022517990948008,0.0451100972582843,"WASH8P","100288778","WAS protein family homolog 8, pseudogene"
"ENSG00000136449.15",7.22807737857213,3.27856920339838,1.69433595153644,0.0015255077515474,0.0349599749839666,"MYCBPAP","84073","MYCBP associated protein"
"ENSG00000182580.3",12.9832733769795,3.24676278208083,1.13433458811882,0.000165397045974549,0.00730894227884213,"EPHB3","2049","EPH receptor B3"
"ENSG00000248257.7",126.300839330986,3.24463813991647,2.5545179812745,0.00383421937743273,0.0632006136198116,NA,NA,NA
"ENSG00000229321.2",4.5919705411288,3.24116350589517,1.20454088750606,0.000412270893259917,0.0142192231085346,NA,NA,NA
"ENSG00000123700.5",201.256587833673,3.24084718434349,0.632786459115732,1.89919156105977e-08,5.24909702984076e-06,"KCNJ2","3759","potassium inwardly rectifying channel subfamily J member 2"
"ENSG00000280339.1",26.563282111786,3.20571879144756,0.740138243219171,1.15210414176978e-06,0.000157891676223734,NA,NA,NA
"ENSG00000179761.12",10.2709557707412,3.20361316546747,0.92056361604333,2.61938954554133e-05,0.00176565626239193,"PIPOX","51268","pipecolic acid and sarcosine oxidase"
"ENSG00000271204.1",11.0429746686891,3.20225582295458,1.31540443899729,0.000573569685499212,0.0178219986061872,NA,NA,NA
"ENSG00000197927.13",8.21778297724934,3.19278266145931,1.25992372195005,0.000408608593787539,0.014163729044957,NA,NA,NA
"ENSG00000099953.10",89.4820881538458,3.14356714940498,0.602707589691337,8.61639340718517e-09,2.83028008203635e-06,"MMP11","4320","matrix metallopeptidase 11"
"ENSG00000109063.15",58.7046924253596,3.12596614876841,1.02976422391971,8.57787692859856e-05,0.00446006495377936,"MYH3","4621","myosin heavy chain 3"
"ENSG00000239280.1",7.24870483131844,3.00947700617022,1.25689429930853,0.00105097681152651,0.0273227564544342,NA,NA,NA
"ENSG00000150051.14",339.335505494871,2.98849082307214,0.888827123388953,9.48246247935232e-05,0.00477338034627215,"MKX","283078","mohawk homeobox"
"ENSG00000131738.11",106.537234544775,2.93996505220711,1.25240055302114,0.0009243519521514,0.0252117528626335,"KRT33B","3884","keratin 33B"
"ENSG00000172733.11",25.1354202282503,2.93178772866922,0.968452913969198,0.000100314748960646,0.0049544472911494,"PURG","29942","purine rich element binding protein G"
"ENSG00000245532.9",4457.39327278531,2.91157007494447,0.725021638107021,2.68276975626431e-06,0.000303372881618217,"NEAT1","283131","nuclear paraspeckle assembly transcript 1"
"ENSG00000134363.12",588.318158432534,2.90086621688232,0.788645279546552,8.66721731213424e-06,0.000747330812738775,"FST","10468","follistatin"
"ENSG00000180539.8",2.78490828293784,2.88921198701575,2.88694959282689,0.00592913393777173,0.083467685515815,"C9orf139","401563","chromosome 9 open reading frame 139"
"ENSG00000224594.2",8.31698189496695,2.86302514378902,2.2989930481645,0.00350604599400371,0.0599939155644633,NA,NA,NA
"ENSG00000269968.1",271.09106754022,2.84434941907897,1.61331515921898,0.00193491805251308,0.0409838220866998,NA,NA,NA
"ENSG00000140534.14",54.883309822294,2.80805634239511,1.14966589999912,0.000506068099924077,0.0162617597202311,"TICRR","90381","TOPBP1 interacting checkpoint and replication regulator"
"ENSG00000206561.13",15.6105782893676,2.78731408613417,1.06330280083184,0.000280197273399339,0.0109403818409923,"COLQ","8292","collagen like tail subunit of asymmetric acetylcholinesterase"
"ENSG00000286808.1",2.83915422981272,2.75102113790681,1.84631431427074,0.00509153338947087,0.0762403704498627,NA,NA,NA
"ENSG00000164591.13",6.26873222039581,2.69446803388718,1.40761297172882,0.00165629321966242,0.0371347041036773,"MYOZ3","91977","myozenin 3"
"ENSG00000255031.5",22.6599694224837,2.6813778290039,1.60064810182483,0.00239508648096714,0.0468580627669446,NA,NA,NA
"ENSG00000171812.13",157.750195714309,2.67738126797257,1.10754646973238,0.000682605298991622,0.0202957385881216,"COL8A2","1296","collagen type VIII alpha 2 chain"
"ENSG00000228434.1",22.1528468831414,2.61883356394937,0.969144332431517,0.00033511883828352,0.0122960092897857,NA,NA,NA
"ENSG00000123612.16",15.8769627181399,2.59403603737923,0.73192475933436,2.49489809430842e-05,0.00168723598573916,"ACVR1C","130399","activin A receptor type 1C"
"ENSG00000036672.16",5.81738715937872,2.57552494555594,1.28925884945519,0.00161007034771167,0.0364139844541479,"USP2","9099","ubiquitin specific peptidase 2"
"ENSG00000116678.19",406.01237122627,2.56191938382724,0.417355061454041,4.81340768993273e-11,3.32078500984017e-08,"LEPR","3953","leptin receptor"
"ENSG00000271533.1",45.1626957464802,2.55316100049343,0.795914933782863,6.86318198261624e-05,0.00376728615247375,NA,NA,NA
"ENSG00000126562.17",45.6234832169804,2.54835863780671,1.2705194266315,0.00136509281619419,0.0326580702177139,"WNK4","65266","WNK lysine deficient protein kinase 4"
"ENSG00000235997.3",8.60204755042289,2.5269813958764,1.67019391455084,0.00478529119410148,0.0732446863688876,NA,NA,NA
"ENSG00000267787.7",8.85440246697834,2.52660012132033,0.942651477357657,0.000300747177508251,0.0114555111349871,NA,NA,NA
"ENSG00000182010.11",207.540931242626,2.5258146578496,0.335645495720447,3.2944807147868e-15,9.739426273114e-12,"RTKN2","219790","rhotekin 2"
"ENSG00000244378.1",12.6476068462351,2.50763652996824,2.00946394095319,0.00384396413084515,0.0632329043908661,NA,NA,NA
"ENSG00000248483.7",6.22621984112713,2.50310030007364,1.36141347470787,0.00226341334210051,0.045130584701545,"POU5F2","134187","POU domain class 5, transcription factor 2"
"ENSG00000285077.2",23.246128614086,2.49943123397888,1.74750070021051,0.00300856259661648,0.0546248184593113,NA,NA,NA
"ENSG00000122966.16",215.476107290183,2.48917056835557,0.990396324559757,0.000425809159498267,0.0145167952992704,"CIT","11113","citron rho-interacting serine/threonine kinase"
