UniqueCount	AmbigCount
0	20
0	9
0	453
0	0
0	1
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
6	77
0	10
0	7
0	11
0	3
0	48
0	0
0	59
0	37
0	18
102	31
0	27
0	182
10	79
0	14
24	121
0	0
0	0
0	9
6	522
0	187
2	208
0	175
0	177
0	129
24	54
1	0
0	99
0	0
0	0
0	1
0	0
0	0
0	0
0	6
3	28
1	18
0	6
0	9
8	11
0	156
0	96
0	101
0	93
0	91
0	72
0	49
0	78
0	89
2	21
0	32
0	19
4	18
0	38
0	39
3	31
0	2
0	0
0	17
6	113
0	4
0	4
0	14
0	0
0	0
0	0
0	4
0	0
0	51
0	6
0	0
0	7
0	34
0	6
0	10
0	0
0	0
18	10113
1052	20082
357	173074
12	1
6	20881
1	1
5920	36973
7	16153
0	2
0	0
17	781
0	43
0	0
0	0
0	7
0	5
0	5
0	3
0	5
0	12
0	7
0	5
0	5
0	30
0	5
0	5
0	5
0	3
0	14
0	10
2	3
0	5
2	5
0	20
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	52
0	7
0	7
0	4
1	37
0	36
0	1
0	7
0	25
24	211
3	14
0	214
4	12
0	216
0	36
0	217
1	63
0	122
0	21
0	35
0	1
0	36
0	149
0	172
0	12
0	34
0	151
0	4
0	141
0	5
0	24
0	5
0	0
0	20
14	11
0	0
0	0
1	27
0	19
0	23
0	1
0	0
4	0
36	11
0	11
99	55
0	39
0	19
6	94
0	36
0	626
0	592
0	627
0	539
0	613
0	592
0	601
0	522
0	604
0	585
11	357
0	8
1	55
1	16
1	18
10	1233
2	485
25	1187
1	0
0	323
9	30
10	71
0	73
4	22
3	29
4	9
9	52
1	48
0	46
1	5
1	20
0	5
0	4
0	5
57	0
0	91
1	88
5	79
0	67
0	515
0	388
29	512
0	0
0	0
0	8431
0	8309
0	7889
0	7767
0	164
3	651
24	511
3	313
11	219
112	2597
0	312
3	166
0	165
0	162
4	7
5	115
3	118
9	0
7	0
0	43
0	38
0	40
0	43
4	35
1	43
0	40
0	5
0	35
0	18
0	13
0	13
0	6
0	6
0	5
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
3	2
0	2
0	0
0	1530
0	1469
0	1414
0	1466
25	754
0	699
0	1238
0	775
0	367
74	0
1	8
5	8
1	18
2	11
4	8
11	0
0	263
0	266
0	262
0	202
0	212
0	195
0	183
4	74
0	174
0	144
0	70
0	83
0	87
0	66
3	71
1	27
0	18
0	25
2	23
9	8
0	1
3	1
0	58
0	46
8	58
0	56
0	10
0	58
0	2
0	23
21	602
0	621
4	388
0	376
6	27
0	88
0	118
8	40
27	163
0	90
11	54
0	38
0	6
0	0
7	251
1	77
0	54
0	118
8	219
0	452
0	673
0	672
0	474
0	475
0	672
0	188
0	598
0	477
36	457
0	439
0	475
0	672
0	488
0	448
0	573
0	603
0	205
0	146
0	123
0	484
0	135
0	234
0	198
0	130
0	166
0	311
0	67
0	97
0	283
0	192
0	204
0	247
0	227
0	226
0	34
0	21
0	176
