UniqueCount	AmbigCount
0	3
0	2
0	3
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	1
1	6
0	6
1	11
0	0
0	3
0	0
0	0
0	9
3	1
0	2
0	0
0	1
6	2
0	0
0	7
1	2
0	0
0	5
0	0
0	1
0	1
0	4
0	189
0	188
0	182
0	148
0	135
4	8
1	6
0	88
0	4
0	2
0	4
0	4
0	4
0	0
0	1
0	1
1	2
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	3
0	1
0	0
0	1
0	119
2	389
3	4
0	6
0	6
0	5
0	1
0	6
0	3
0	1
0	1
0	1
0	4
0	2
15	3653
863	10363
145	54594
0	2927
61	66595
3	159
2977	18280
20	5033
0	0
0	0
0	10
0	0
0	0
0	1
0	11
0	7
0	7
0	8
0	7
0	36
0	36
0	7
0	7
0	9
0	7
0	7
0	7
0	8
0	35
0	35
0	6
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	3
0	4
0	4
0	29
0	4
0	3
0	1
0	3
0	25
2	175
0	12
0	178
0	14
1	175
0	50
0	173
1	81
0	140
0	14
0	43
0	2
0	49
0	161
0	145
0	8
0	44
0	162
0	6
0	154
0	5
0	25
0	0
0	0
0	32
0	0
0	0
1	0
0	14
0	8
0	11
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	6
0	4
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	4
0	2
0	4
0	46
0	0
0	7
0	7
0	7
0	7
0	0
0	0
0	0
0	0
1	0
0	6
0	4
0	14
0	14
0	14
0	0
0	9
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	44
0	44
0	39
0	39
0	32
0	32
0	5
0	4
0	2
16	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	7
0	6
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	2
0	2
0	0
0	2
0	0
0	0
0	2
0	2
0	1
0	1
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	1
0	0
0	1
0	16
0	19
0	22
0	22
0	21
0	18
0	21
0	15
0	19
0	17
6	19
0	12
0	14
0	15
0	14
0	8
0	3
0	4
0	0
0	0
0	0
0	3
0	0
0	1
0	1
0	1
0	2
0	1
0	1
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
9	0
0	0
0	0
0	6
0	6
0	5
0	0
0	0
0	1
0	1
0	0
0	0
0	148
0	148
0	143
1	139
0	141
0	9
0	8
0	1
0	0
0	0
0	14
0	14
0	14
0	12
0	0
0	0
2	0
0	22
0	26
0	19
0	15
0	34
0	17
0	16
0	15
0	18
0	3
0	6
0	1
0	2
1	1
0	4
0	14
0	3
0	3
0	2
0	3
0	112
0	141
0	164
0	124
0	1
0	0
0	75
0	136
0	163
4	1676
2	1094
1	1547
14	546
2	707
