UniqueCount	AmbigCount
0	8
0	1
0	8
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	1
0	1
0	23
0	18
1	19
0	5
0	6
0	3
0	1
0	13
5	1
0	6
0	1
0	3
11	5
0	4
0	23
0	12
0	1
4	11
0	1
0	0
0	1
0	8
0	489
3	490
0	474
0	370
0	327
18	23
1	6
0	237
0	16
0	8
0	16
0	10
0	9
0	8
0	7
0	4
2	5
0	4
0	2
0	0
0	9
0	6
0	11
0	10
0	5
0	9
0	5
0	9
0	8
0	7
0	9
0	2
0	1
0	3
0	4
0	2
0	0
0	0
0	0
1	7
0	12
0	1
0	6
0	286
1	731
11	10
0	26
0	26
0	17
0	9
0	4
0	7
0	5
0	4
0	3
0	11
0	7
48	9565
2610	33064
403	114171
0	6576
151	112098
10	362
7058	44402
72	12367
0	0
0	1
0	60
0	5
0	1
1	0
0	51
0	41
0	41
0	39
0	41
0	96
1	95
0	41
0	41
0	47
0	41
0	41
0	41
0	39
0	94
0	95
0	39
0	1
0	1
0	5
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	9
0	12
0	12
0	54
0	16
0	15
0	2
0	25
0	46
13	385
0	40
0	409
0	57
1	415
0	106
0	408
0	183
0	321
0	65
0	104
0	17
0	105
0	372
0	318
0	41
0	107
0	354
3	12
0	331
0	10
0	47
0	5
0	3
0	61
0	1
0	0
5	1
0	15
0	11
0	9
1	6
0	0
1	0
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	8
0	5
2	8
0	0
1	0
0	0
0	3
0	3
0	0
0	1
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	2
0	2
0	15
0	13
2	15
0	58
0	0
0	19
0	19
0	18
0	18
0	0
0	0
0	0
0	0
1	1
2	17
0	13
0	2
0	1
0	1
0	0
0	1
0	1
0	0
1	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	144
0	145
0	119
0	123
0	109
0	109
0	20
0	11
0	4
22	0
0	0
0	0
0	0
0	1
0	1
1	1
0	13
0	13
0	13
0	2
0	1
0	1
0	1
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	2
0	0
0	2
0	2
0	0
0	2
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	1
1	0
0	0
0	0
0	0
0	39
0	1
0	0
0	1
0	38
0	40
0	44
0	44
0	42
0	41
0	37
0	27
0	32
0	24
15	29
0	16
0	19
0	21
0	19
0	14
0	11
0	11
0	4
0	3
0	2
0	9
0	2
0	4
0	4
0	2
0	3
0	6
0	2
0	3
0	5
0	3
0	4
0	3
0	4
0	4
0	2
0	1
0	3
0	6
0	7
0	6
0	3
0	2
0	3
0	3
0	4
0	2
0	1
0	0
0	1
0	0
2	0
0	1
29	1
0	0
0	0
0	5
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	270
1	272
0	270
0	263
0	268
0	26
0	22
0	4
0	0
0	0
0	26
3	26
0	26
0	24
0	3
0	0
0	0
0	91
0	101
0	86
0	71
0	130
1	77
0	73
0	73
0	85
0	11
0	17
0	2
0	2
0	2
0	19
0	39
0	9
0	9
1	8
0	5
0	125
0	169
0	201
0	141
0	0
0	0
0	96
0	159
0	196
9	2520
2	1634
0	2329
48	863
4	1110
2	565
0	1
24	54
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	7
0	0
0	0
0	5
0	1
0	5
0	0
0	1
0	1
0	0
0	0
0	5
0	1
0	5
0	1
0	5
0	1
0	1
0	0
0	0
0	0
0	0
71	1784
1	1429
0	561
11	305
0	6
7	8
0	0
1	0
0	0
25	0
0	10
4	10
0	10
0	10
0	6
0	6
0	6
3	0
0	0
0	6
0	0
0	6
0	0
0	0
0	0
0	6
0	0
0	0
0	6
0	2
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	137
0	135
0	129
0	124
0	129
0	101
0	101
0	99
0	106
1	70
0	8
0	717
1	716
0	21
0	3
0	11
1	9
0	0
2	91
0	71
0	8
0	28
0	71
0	78
0	85
0	85
0	85
0	85
0	2
0	2
0	1
0	1
0	1
0	0
0	0
0	0
0	1
3	67
0	30
0	26
1	23
7	81
0	4
0	7
0	4
0	6
0	7
0	7
96	611
0	1
0	3
0	2
0	52
0	52
0	52
0	11
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2208
0	2185
0	2215
0	157
2	224
0	101
0	101
0	44
0	4
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	0
0	0
2	1
0	0
1	0
0	0
0	1
0	1
0	0
0	1
0	1
0	1
0	0
0	1
0	1
0	1
0	0
0	1
0	0
0	0
0	2
0	1
0	1
0	0
0	1
0	0
0	0
0	8
0	1
0	0
0	0
0	0
0	1
0	8
0	1
0	6
0	1
0	1
0	1
0	1
0	1
0	3
0	2
0	1
0	1
0	1
0	2
0	1
0	7
0	2
0	5
0	5
0	1
1	3
0	1
0	1
0	4
1	5
0	5
0	4
0	2
4	8
0	1
0	1
0	3
7	23
0	1
0	4
0	5
0	0
0	1
1	0
73	1
0	0
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
6	3
1	3
1	1
0	1
1	1
0	0
0	1
0	0
2	1
0	0
2	0
5	484
0	273
0	574
0	400
0	57
0	505
0	315
1	484
0	232
0	24
0	22
0	17
0	8
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	7
0	3
2	8
0	1
0	0
0	0
0	0
0	1
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	4
0	3
1	1
0	3
0	1
0	0
0	1
0	1
0	1
0	1
0	1
0	3
0	3
0	0
0	0
0	1
0	3
0	3
0	1
0	1
0	0
0	1
0	0
1	0
0	0
0	0
0	12
0	12
0	12
0	12
0	0
0	12
0	0
0	0
0	0
0	0
0	12
0	0
0	12
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	3
7	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
52	1
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	445
0	444
1	11
0	11
0	1
0	4
0	0
0	0
0	0
0	1
0	4
0	3
0	2
0	2
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	39
0	3
0	97
0	23
0	99
0	163
0	22
0	1
0	97
0	9
0	149
0	147
0	160
0	158
0	108
0	141
0	90
0	72
0	75
0	113
0	97
0	37
0	21
0	20
0	27
0	24
0	19
0	23
0	16
0	0
2	1
0	0
0	0
0	0
0	0
0	0
0	0
141	13
0	10
0	3
3	0
0	1
80	284
0	0
0	8
0	9
0	99
0	106
0	165
0	41
1	32
0	17
0	19
0	0
0	23
0	23
0	23
0	23
0	23
0	23
0	23
0	23
0	0
2	0
0	12
2	470
6	471
0	479
0	4
0	4
5	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
4	2
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	1
0	1
0	1
0	0
0	1
0	1
0	0
0	0
14	2
0	2
0	0
0	1
1	1
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	18
0	17
0	18
0	18
0	18
0	6
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	16
0	16
0	13
0	2
0	2
0	0
0	1
0	0
0	2
0	1
0	2
0	13
0	1
0	0
0	2
0	16
0	2
0	2
0	13
0	2
0	15
0	2
0	2
0	3
0	8
0	2
0	2
0	9
0	2
0	1
0	15
0	15
0	2
0	2
0	2
0	1
0	14
0	1
0	1
0	1
0	1
0	0
0	0
0	13
0	3
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	1472
2224	3308
1	3286
0	3152
0	2736
0	2452
0	1494
1	1465
0	0
2	2
4	79
0	0
0	0
0	40
0	0
0	0
0	0
0	4
677	442
0	147
0	254
0	50
0	2
0	3
0	1
