UniqueCount	AmbigCount
0	4
0	2
0	19
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	25
0	22
1	17
0	2
0	4
0	2
0	1
0	16
14	2
0	9
0	0
0	4
12	0
0	0
0	28
0	6
0	6
2	13
0	0
0	0
0	2
0	18
0	516
1	513
0	495
0	407
0	345
9	19
0	4
0	239
0	20
0	7
0	20
1	16
0	16
0	9
0	6
1	6
8	7
0	4
0	3
0	0
0	13
0	5
0	8
0	14
0	9
0	5
0	8
0	8
0	5
0	3
0	5
0	3
0	0
0	2
0	4
0	0
0	0
0	0
0	1
0	8
0	10
0	1
0	4
0	281
3	651
7	8
0	22
0	24
0	27
0	9
0	2
0	5
0	9
0	4
0	4
0	11
0	6
30	7925
2252	27277
357	101907
0	5821
119	93679
8	222
5884	35919
72	10527
0	0
0	1
2	75
0	11
0	0
1	0
0	43
0	38
0	38
0	36
0	38
0	94
0	94
0	38
0	38
0	42
0	38
0	38
0	38
0	35
0	92
0	93
3	33
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	7
0	8
0	8
0	57
2	19
0	18
1	4
0	31
0	44
9	405
1	27
0	413
0	58
0	427
0	107
0	421
0	177
0	322
0	65
0	105
0	9
0	93
0	379
0	345
0	46
0	102
0	361
5	9
0	351
0	5
0	44
0	1
0	0
0	50
0	2
0	0
1	0
0	20
0	17
0	16
0	11
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	7
0	7
0	7
0	7
0	7
0	7
0	7
0	7
0	7
0	7
0	0
0	0
0	0
0	0
0	0
0	15
0	11
1	17
0	0
0	1
1	2
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	38
0	36
4	38
0	46
1	0
0	15
0	15
0	14
0	14
0	1
0	0
0	0
0	0
3	0
0	8
0	5
2	7
0	7
0	6
0	0
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	116
0	116
0	101
0	105
1	85
0	82
0	26
0	18
0	7
15	0
0	0
0	0
0	0
0	0
0	0
0	0
1	11
0	11
0	9
0	1
0	1
0	1
0	1
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	9
0	8
0	2
0	2
0	0
0	0
0	0
0	1
0	0
1	0
0	0
0	0
0	0
0	31
0	4
0	2
0	4
0	30
0	55
0	63
0	63
0	61
0	52
0	63
0	32
0	59
0	54
15	53
0	41
0	46
0	48
0	50
0	41
0	38
0	36
0	15
0	10
0	12
0	28
0	11
0	17
0	12
0	9
0	10
0	13
0	4
0	7
0	11
0	11
0	7
0	5
0	6
0	5
0	3
0	1
0	2
0	6
0	7
0	5
0	5
0	5
0	4
0	4
0	4
0	1
0	1
0	1
0	0
0	0
0	0
0	0
34	0
0	0
0	0
0	6
0	6
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	339
1	340
0	339
0	318
0	339
0	50
0	43
0	11
0	1
0	1
0	38
7	38
0	38
0	38
0	5
0	0
0	0
0	152
1	157
0	126
0	104
0	188
0	136
0	115
1	123
0	138
0	40
0	41
0	18
0	17
0	16
0	22
0	33
0	7
0	8
0	2
0	2
0	126
0	166
0	195
0	135
0	2
0	2
0	103
0	153
0	175
7	2505
2	1647
2	2313
46	846
6	1108
6	564
0	5
18	61
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	6
0	0
0	0
0	2
0	1
0	2
0	0
0	1
0	1
0	0
0	0
0	4
0	2
0	4
0	2
0	4
0	0
0	0
0	1
1	0
0	0
0	0
98	1838
1	1433
0	640
4	337
0	1
8	1
0	0
1	0
0	0
22	1
0	8
0	8
0	8
0	8
0	7
0	6
0	6
0	0
0	0
0	6
0	0
0	6
0	0
0	0
0	0
0	6
0	0
0	0
0	6
0	1
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	3
0	7
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	103
0	101
0	93
0	89
0	93
0	70
0	69
0	68
0	75
0	61
0	7
0	639
0	638
0	23
1	2
0	4
0	4
0	1
4	82
0	70
0	5
0	25
0	62
0	69
0	75
0	76
0	75
0	75
0	1
0	2
0	0
0	0
0	0
0	0
0	0
0	3
0	0
2	63
0	26
1	31
2	27
10	83
2	4
0	13
1	3
0	3
0	6
0	6
107	552
0	12
0	5
0	2
0	81
0	81
0	81
0	12
0	2
0	3
0	2
0	1
0	2
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
1	2266
0	2241
0	2269
0	180
1	238
0	91
0	90
0	55
0	9
0	14
0	0
1	0
0	0
0	0
0	0
0	2
0	2
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	0
0	0
1	3
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	4
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	1
0	0
0	0
0	0
0	0
0	9
0	1
0	8
0	1
0	2
0	1
0	2
0	1
0	3
0	2
0	1
0	1
0	1
0	2
0	1
0	10
0	2
0	7
0	6
0	2
4	2
0	0
0	0
0	3
0	5
0	5
0	4
0	3
8	8
0	1
0	1
