"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0006163","GO:0006163","purine nucleotide metabolic process",497,-0.49044717025041,-1.62552706138988,1.07848106726486e-05,0.000862771263595759,0.00073337948178854,3164,"tags=38%, list=20%, signal=31%","NDUFC2/NUP58/MCCC2/PANK3/COX1/NDUFB11/NDUFV3/NDUFB10/ACAT1/RHOA/STOML2/PRPSAP1/GUCY1B1/BAD/IMPDH1/SNCA/PFKL/ELOVL5/COX3/PARP1/SLC35B2/MOCS2/BID/NDUFB8/UQCRFS1/TP53/HTD2/MPC1/ITPA/NDUFA5/ELOVL6/NDUFS2/PAPSS1/HPRT1/GUCY1A2/COX6A1/RORA/COX15/NUP93/PGM1/GART/PRKAA1/TIGAR/COA6/CCNB1/COX4I1/ATPSCKMT/NME4/ADCY1/EPHA2/PRPSAP2/NME6/DNAJC15/ATP5F1B/HIF1A/NDUFC1/COX7C/MTHFD1/NDUFA10/MCEE/ATP5MC2/CYC1/ATP5F1D/PDHB/ABHD14B/NDUFB4/NUDT9/ND1/NDUFA1/COX10/DLAT/NDUFAB1/AK2/SLC25A1/NDUFS3/SEH1L/PFKFB3/UQCRC2/NME5/PAICS/NUP35/GPHN/NUDT15/COX5B/NUP88/NDUFA2/PRKAG1/COX6C/ECD/PDHX/ATIC/UQCRC1/PANK2/SUCLA2/ELOVL1/ACSL3/OGDH/DGUOK/NDUFA4/OXSM/DLST/UQCRB/FXN/RAE1/ACLY/HINT1/ADK/ACSL5/NDUFS1/ATP6V1B2/IMPDH2/PGAM1/COX2/SDHD/NDUFA12/UQCR11/ACOT9/SDHC/NDUFB1/GAPDH/NDUFA7/ND3/TEFM/NDUFB5/EFL1/NDUFA8/BPNT1/COX6B1/NDUFB7/TPI1/NDUFA6/UQCC2/ATP5MF/DLD/COX7B/ATP5PF/ADSL/RAN/COX7A2/ATP5PD/ENO1/NDUFS5/NDUFS4/ATP5F1C/SUCLG1/NDUFV2/ATP5F1A/SLC25A12/PPT1/ATP5PB/PKM/ATP5MC3/COX7A2L/NDUFB2/NUDT5/NME7/PGK1/SLC25A33/NDUFAF1/SDHAF2/NME2/OLA1/NDUFA9/PRPS1/ATP5F1E/EIF6/PPIF/UQCRHL/ATP5MG/PARK7/NDUFB3/ATP5MC1/LDHA/SLC2A6/UQCR10/ATP5ME/UQCRQ/UQCRH/DBI/HSPA8/TSPO/NDUFB9/CYCS/BPGM/ATP5PO/NME1/PNP"
"GO:0009259","GO:0009259","ribonucleotide metabolic process",489,-0.488680996062533,-1.61849888751003,1.07976202045069e-05,0.000862771263595759,0.00073337948178854,3164,"tags=38%, list=20%, signal=32%","NDUFC2/NUP58/MCCC2/PANK3/COX1/NDUFB11/NDUFV3/NDUFB10/ACAT1/RHOA/STOML2/GUCY1B1/BAD/IMPDH1/SNCA/PFKL/ELOVL5/COX3/PARP1/SLC35B2/MOCS2/BID/NDUFB8/UQCRFS1/TP53/HTD2/MPC1/ITPA/NDUFA5/ELOVL6/NDUFS2/PAPSS1/HPRT1/GUCY1A2/COX6A1/RORA/COX15/NUP93/PGM1/GART/PRKAA1/UPRT/TIGAR/COA6/CCNB1/COX4I1/ATPSCKMT/NME4/ADCY1/EPHA2/NME6/DNAJC15/ATP5F1B/HIF1A/NDUFC1/COX7C/NDUFA10/MCEE/ATP5MC2/CYC1/ATP5F1D/PDHB/ABHD14B/NDUFB4/NUDT9/ND1/NDUFA1/COX10/UMPS/DLAT/NDUFAB1/AK2/SLC25A1/NDUFS3/SEH1L/PFKFB3/UQCRC2/NME5/PAICS/NUP35/GPHN/COX5B/NUP88/NDUFA2/PRKAG1/COX6C/ECD/PDHX/ATIC/UQCRC1/PANK2/SUCLA2/ELOVL1/ACSL3/OGDH/NDUFA4/OXSM/DLST/UQCRB/FXN/RAE1/ACLY/HINT1/ADK/ACSL5/NDUFS1/ATP6V1B2/IMPDH2/PGAM1/COX2/SDHD/NDUFA12/UQCR11/RFK/ACOT9/SDHC/NDUFB1/CMPK1/GAPDH/NDUFA7/ND3/TEFM/NDUFB5/EFL1/NDUFA8/BPNT1/COX6B1/NDUFB7/TPI1/NDUFA6/UQCC2/UCK2/ATP5MF/DLD/COX7B/ATP5PF/ADSL/RAN/COX7A2/ATP5PD/ENO1/NDUFS5/NDUFS4/ATP5F1C/SUCLG1/NDUFV2/CTPS1/ATP5F1A/SLC25A12/PPT1/ATP5PB/PKM/ATP5MC3/COX7A2L/NDUFB2/NUDT5/NME7/PGK1/SLC25A33/NDUFAF1/SDHAF2/NME2/OLA1/NDUFA9/ATP5F1E/EIF6/PPIF/UQCRHL/ATP5MG/PARK7/NDUFB3/ATP5MC1/LDHA/SLC2A6/UQCR10/ATP5ME/UQCRQ/UQCRH/DBI/HSPA8/TSPO/NDUFB9/CYCS/BPGM/ATP5PO/NME1"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process",475,-0.485816603556177,-1.60637297742632,1.08382285999176e-05,0.000862771263595759,0.00073337948178854,3164,"tags=38%, list=20%, signal=31%","NDUFC2/NUP58/MCCC2/PANK3/COX1/NDUFB11/NDUFV3/NDUFB10/ACAT1/RHOA/STOML2/GUCY1B1/BAD/IMPDH1/SNCA/PFKL/ELOVL5/COX3/PARP1/SLC35B2/MOCS2/BID/NDUFB8/UQCRFS1/TP53/HTD2/MPC1/ITPA/NDUFA5/ELOVL6/NDUFS2/PAPSS1/HPRT1/GUCY1A2/COX6A1/RORA/COX15/NUP93/PGM1/GART/PRKAA1/TIGAR/COA6/CCNB1/COX4I1/ATPSCKMT/NME4/ADCY1/EPHA2/NME6/DNAJC15/ATP5F1B/HIF1A/NDUFC1/COX7C/NDUFA10/MCEE/ATP5MC2/CYC1/ATP5F1D/PDHB/ABHD14B/NDUFB4/NUDT9/ND1/NDUFA1/COX10/DLAT/NDUFAB1/AK2/SLC25A1/NDUFS3/SEH1L/PFKFB3/UQCRC2/NME5/PAICS/NUP35/GPHN/COX5B/NUP88/NDUFA2/PRKAG1/COX6C/ECD/PDHX/ATIC/UQCRC1/PANK2/SUCLA2/ELOVL1/ACSL3/OGDH/NDUFA4/OXSM/DLST/UQCRB/FXN/RAE1/ACLY/HINT1/ADK/ACSL5/NDUFS1/ATP6V1B2/IMPDH2/PGAM1/COX2/SDHD/NDUFA12/UQCR11/ACOT9/SDHC/NDUFB1/GAPDH/NDUFA7/ND3/TEFM/NDUFB5/EFL1/NDUFA8/BPNT1/COX6B1/NDUFB7/TPI1/NDUFA6/UQCC2/ATP5MF/DLD/COX7B/ATP5PF/ADSL/RAN/COX7A2/ATP5PD/ENO1/NDUFS5/NDUFS4/ATP5F1C/SUCLG1/NDUFV2/ATP5F1A/SLC25A12/PPT1/ATP5PB/PKM/ATP5MC3/COX7A2L/NDUFB2/NUDT5/NME7/PGK1/SLC25A33/NDUFAF1/SDHAF2/NME2/OLA1/NDUFA9/ATP5F1E/EIF6/PPIF/UQCRHL/ATP5MG/PARK7/NDUFB3/ATP5MC1/LDHA/SLC2A6/UQCR10/ATP5ME/UQCRQ/UQCRH/DBI/HSPA8/TSPO/NDUFB9/CYCS/BPGM/ATP5PO/NME1"
"GO:0006091","GO:0006091","generation of precursor metabolites and energy",462,-0.546403828798192,-1.80420213620234,1.08729925737461e-05,0.000862771263595759,0.00073337948178854,2340,"tags=33%, list=15%, signal=29%","COX15/ALDH1B1/BNIP3/NUP93/PGM1/XYLB/PRKAA1/TIGAR/OXA1L/COA6/CCNB1/COX4I1/ATPSCKMT/AKR1A1/SLC25A22/DNAJC15/ATP5F1B/HIF1A/NDUFC1/TSTA3/COX7C/AKT1/NDUFA10/ATP5MC2/CYC1/C15orf48/CYB5A/ATP5F1D/PDHB/NDUFB4/SELENOS/ND1/NDUFA1/COX10/CALM1/AKR7A2/DLAT/NDUFAB1/ME2/NDUFS3/SEH1L/STBD1/FAHD1/PFKFB3/FDX1/ADH5/UQCRC2/UGP2/NUP35/COX5B/NUP88/NDUFA2/PRKAG1/COX6C/ECD/UQCRC1/PANK2/CS/SUCLA2/SLC25A14/IDH1/OGDH/NDUFA4/GNPDA1/LYRM7/GSK3A/DLST/UQCRB/FXN/RAE1/MYC/NDUFS1/IDH3B/CYB5R4/PGAM1/COX2/SDHD/NDUFA12/UQCR11/SDHC/NDUFB1/GAPDH/NDUFA7/ND3/FASTKD2/BLOC1S1/TEFM/NDUFB5/NDUFA8/COX6B1/SDHB/CYP19A1/NDUFB7/GLRX/TPI1/NDUFA6/UQCC2/ATP5MF/DLD/COX7B/ATP5PF/ETFRF1/ADSL/COX7A2/ATP5PD/ENO1/NDUFS5/NDUFS4/MDH1/ATP5F1C/SUCLG1/NDUFV2/ATP5F1A/SLC25A12/ATP5PB/PKM/ATP5MC3/COX7A2L/GLRX3/NDUFB2/PGK1/SLC25A33/NDUFAF1/PRELID1/SDHAF2/P4HA2/NDUFA9/ATP5F1E/ALDH4A1/EIF6/PPIF/UQCRHL/ATP5MG/GFPT2/PARK7/CIAPIN1/NDUFB3/ATP5MC1/LDHA/CISD1/SLC2A6/UQCR10/ATP5ME/UQCRQ/UQCRH/NDUFAF2/NDUFB9/CYCS/BPGM/ATP5PO/SORBS1/PHLDA2"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",456,-0.636505627729783,-2.10050259113658,1.0887908977081e-05,0.000862771263595759,0.00073337948178854,2551,"tags=43%, list=16%, signal=37%","G3BP2/DDX18/CDC73/PA2G4/SF3B1/RPL7L1/NOC2L/RPL3/EXOSC3/DENR/WDR55/MRPS7/MTREX/EIF2A/NOP16/PRKAA1/MRPL11/PIH1D2/XRN2/RPL38/DDX21/CEBPZ/UTP6/NGDN/NOL6/ISY1/NCBP1/KRR1/EIF4H/STRAP/GAR1/RPP38/EIF3C/WDR18/GNL2/MPHOSPH6/TXNL4A/EIF3E/EIF2S3B/RRP8/PRPF18/RIOK2/RPS14/RRN3/XAB2/SNRPD3/NUP88/MRM2/NMD3/TSR1/EIF2S3/GTF2H5/NOL11/RPS2/GTPBP10/NOL10/SNRPC/GNL3L/UTP14A/G3BP1/RPP40/OGFOD1/NOCT/NSUN3/EXOSC1/TFB1M/CLP1/ZNHIT3/RPS27L/C1D/RIOX2/FTSJ3/PRMT5/SRSF9/RRP36/BMS1/RPL5/RPL12/WDR75/UTP15/DDX47/FCF1/DDX39B/EXOSC7/ABCE1/RPL35/WDR3/EIF4A3/ISG20L2/POP5/BYSL/HSP90AA1/SRSF1/RPS28/HEATR3/NOP14/NOLC1/NSA2/SHQ1/SRPK1/LSM3/MTERF4/EIF3D/RPL10/MRPS11/RPS17/POP4/DDX1/RUVBL2/SNRPD1/DKC1/RAMAC/PDCD11/EIF2S2/MRPS9/FASTKD2/NOP56/PWP1/EFL1/ERAL1/RPS6/UTP4/EXOSC2/EIF3L/RBIS/C1QBP/DDX31/MRPL20/SNRPF/WDR12/EXOSC9/GTPBP4/EMG1/RSL1D1/PAK1IP1/RPS8/MRTO4/GEMIN6/RPL14/NIP7/RPS5/RPL7/MRPL1/RPS10/RPL26/EIF3J/SF3A3/TAF9/RRP15/NOP58/DCAF13/RAN/EIF3K/NBDY/RPL6/RPL26L1/IMP4/EIF3H/EBNA1BP2/BTRC/RPS27/NPM1/RPS7/RPL24/MRPL22/WDR77/SNU13/SNRPE/UTP11/RPF2/SNRPG/RPS23/HSP90AB1/RPS24/RPL10A/RPL7A/EIF6/RPP30/MCTS1/RPL35A/RPL23A/RPLP0/RPS21/TSR3/EIF2S1/NSUN4/RPL11/EIF3M/NOP10/MRPL36/EIF3I/SNRPD2/RPSA/RPL27/DDX10"
"GO:0002444","GO:0002444","myeloid leukocyte mediated immunity",455,-0.511620484284072,-1.68810278371638,1.08939582107763e-05,0.000862771263595759,0.00073337948178854,3063,"tags=32%, list=19%, signal=27%","SLC2A3/APEH/ATG7/HEBP2/RHOA/MAPK1/IMPDH1/DSN1/LAMTOR3/ARL8A/PFKL/VAPA/CSNK2B/RAB5B/PSMD2/SNAP23/SDCBP/WDR1/FAF2/DIAPH1/CSTB/PDXK/GMFG/STX4/AGA/PSMD7/DBNL/PRDX4/ORM1/SVIP/IST1/DNASE1L1/PA2G4/COPB1/PSMD6/AP1M1/ERP44/ENPP4/PGM1/LGALS3/CKAP4/ACTR2/LAMTOR2/SIRPB1/DDX21/ANXA3/RAB18/PSMD13/SURF4/CD63/PAFAH1B2/RAB5C/MOSPD2/TNFAIP6/NIT2/C12orf4/CMTM6/CRACR2A/GSTP1/RAB14/TUSC2/KPNB1/HMOX2/GOLGA7/CTSB/MGST1/RAB7A/STBD1/VPS35L/KCMF1/NRAS/CANT1/TCIRG1/QPCT/XRCC6/TSPAN14/PPIE/SRP14/IDH1/EEF1A1/SERPINB6/B2M/S100A11/PLAUR/MLEC/ACLY/PSMD12/IMPDH2/CTSC/NFKB1/PGAM1/TOLLIP/CCT8/RAC1/GLB1/LAMTOR1/TUBB/CPPED1/HSP90AA1/CAP1/ATP6V0C/RAB10/PSMD3/DDX1/ARPC5/COTL1/EEF2/ILF2/GLA/TXNDC5/PSMA2/PSMC2/GDI2/XRCC5/ATP6V1D/COMMD3/DYNLT1/TRAPPC1/PSMD11/PKM/PSMD14/DYNLL1/S100A13/ABCA13/PSMB1/NME2/PPIA/HSP90AB1/PSMB7/PSMA5/COMMD9/HSPA8/CCT2/PLAU/PNP/F2RL1/GLIPR1/ANXA2/DOCK2/ACPP/PTPRC/IL13RA2/VNN1/PRSS3/HP"
"GO:0002275","GO:0002275","myeloid cell activation involved in immune response",446,-0.520830498214588,-1.71654537856589,1.09204879274006e-05,0.000862771263595759,0.00073337948178854,3063,"tags=32%, list=19%, signal=27%","SLC2A3/APEH/ATG7/HEBP2/RHOA/MAPK1/IMPDH1/DSN1/LAMTOR3/ARL8A/PFKL/VAPA/CSNK2B/RAB5B/PSMD2/SNAP23/SDCBP/FAF2/DIAPH1/CSTB/PDXK/GMFG/STX4/AGA/PSMD7/DBNL/PRDX4/ORM1/SVIP/IST1/DNASE1L1/PA2G4/COPB1/PSMD6/AP1M1/ERP44/ENPP4/PGM1/LGALS3/CKAP4/ACTR2/LAMTOR2/SIRPB1/ANXA3/RAB18/PSMD13/SURF4/CD63/PAFAH1B2/RAB5C/MOSPD2/TNFAIP6/NIT2/C12orf4/CMTM6/CRACR2A/GSTP1/RAB14/KPNB1/HMOX2/GOLGA7/CTSB/MGST1/RAB7A/STBD1/VPS35L/KCMF1/NRAS/CANT1/TCIRG1/QPCT/XRCC6/TSPAN14/PPIE/SRP14/IDH1/EEF1A1/SERPINB6/B2M/S100A11/PLAUR/MLEC/ACLY/PSMD12/IMPDH2/CTSC/NFKB1/PGAM1/TOLLIP/CCT8/RAC1/GLB1/LAMTOR1/TUBB/CPPED1/HSP90AA1/CAP1/ATP6V0C/RAB10/PSMD3/ARPC5/COTL1/EEF2/ILF2/KARS1/GLA/TXNDC5/PSMA2/PSMC2/GDI2/XRCC5/ATP6V1D/COMMD3/DYNLT1/TRAPPC1/PSMD11/PKM/PSMD14/DYNLL1/S100A13/ABCA13/PSMB1/NME2/PPIA/HSP90AB1/PSMB7/PSMA5/COMMD9/HSPA8/CCT2/PLAU/PNP/F2RL1/GLIPR1/ANXA2/DOCK2/ACPP/PTPRC/IL13RA2/VNN1/PRSS3/HP"
"GO:0043299","GO:0043299","leukocyte degranulation",438,-0.522759982629941,-1.72117150766865,1.09407993347994e-05,0.000862771263595759,0.00073337948178854,3063,"tags=32%, list=19%, signal=27%","SLC2A3/APEH/ATG7/HEBP2/RHOA/MAPK1/IMPDH1/DSN1/LAMTOR3/ARL8A/PFKL/VAPA/CSNK2B/RAB5B/PSMD2/SNAP23/SDCBP/FAF2/DIAPH1/CSTB/PDXK/GMFG/STX4/AGA/PSMD7/DBNL/PRDX4/ORM1/SVIP/IST1/DNASE1L1/PA2G4/COPB1/PSMD6/AP1M1/ERP44/ENPP4/PGM1/LGALS3/CKAP4/ACTR2/LAMTOR2/SIRPB1/ANXA3/RAB18/PSMD13/SURF4/CD63/PAFAH1B2/RAB5C/MOSPD2/TNFAIP6/NIT2/C12orf4/CMTM6/CRACR2A/GSTP1/RAB14/KPNB1/HMOX2/GOLGA7/CTSB/MGST1/RAB7A/STBD1/VPS35L/KCMF1/NRAS/CANT1/TCIRG1/QPCT/XRCC6/TSPAN14/PPIE/SRP14/IDH1/EEF1A1/SERPINB6/B2M/S100A11/PLAUR/MLEC/ACLY/PSMD12/IMPDH2/CTSC/NFKB1/PGAM1/TOLLIP/CCT8/RAC1/GLB1/LAMTOR1/TUBB/CPPED1/HSP90AA1/CAP1/ATP6V0C/RAB10/PSMD3/ARPC5/COTL1/EEF2/ILF2/GLA/TXNDC5/PSMA2/PSMC2/GDI2/XRCC5/ATP6V1D/COMMD3/DYNLT1/TRAPPC1/PSMD11/PKM/PSMD14/DYNLL1/S100A13/ABCA13/PSMB1/NME2/PPIA/HSP90AB1/PSMB7/PSMA5/COMMD9/HSPA8/CCT2/PLAU/PNP/F2RL1/GLIPR1/ANXA2/DOCK2/ACPP/PTPRC/IL13RA2/VNN1/PRSS3/HP"
"GO:0036230","GO:0036230","granulocyte activation",414,-0.546474365849738,-1.79354695256535,1.1015763557651e-05,0.000862771263595759,0.00073337948178854,3063,"tags=34%, list=19%, signal=28%","SLC2A3/APEH/ATG7/HEBP2/RHOA/MAPK1/IMPDH1/DSN1/LAMTOR3/ARL8A/PFKL/VAPA/CSNK2B/RAB5B/PSMD2/SNAP23/SDCBP/FAF2/DIAPH1/CSTB/PDXK/GMFG/STX4/AGA/PSMD7/DBNL/PRDX4/ORM1/SVIP/IST1/DNASE1L1/PA2G4/COPB1/PSMD6/AP1M1/ERP44/ENPP4/PGM1/LGALS3/CKAP4/ACTR2/LAMTOR2/SIRPB1/ANXA3/RAB18/PSMD13/SURF4/CD63/PAFAH1B2/RAB5C/MOSPD2/TNFAIP6/NIT2/CMTM6/CRACR2A/GSTP1/RAB14/KPNB1/HMOX2/GOLGA7/CTSB/MGST1/RAB7A/STBD1/VPS35L/KCMF1/NRAS/CANT1/TCIRG1/QPCT/XRCC6/TSPAN14/PPIE/SRP14/IDH1/EEF1A1/SERPINB6/B2M/S100A11/PLAUR/MLEC/ACLY/PSMD12/IMPDH2/CTSC/NFKB1/PGAM1/TOLLIP/CCT8/RAC1/GLB1/LAMTOR1/TUBB/CPPED1/HSP90AA1/CAP1/ATP6V0C/RAB10/PSMD3/ARPC5/COTL1/EEF2/ILF2/KARS1/GLA/TXNDC5/PSMA2/PSMC2/GDI2/XRCC5/ATP6V1D/COMMD3/DYNLT1/TRAPPC1/PSMD11/PKM/PSMD14/DYNLL1/ABCA13/PSMB1/NME2/PPIA/HSP90AB1/PSMB7/PSMA5/COMMD9/HSPA8/CCT2/PLAU/PNP/F2RL1/GLIPR1/ANXA2/PREX1/DOCK2/ACPP/PTPRC/VNN1/PRSS3/CXCL8/HP"
"GO:0002446","GO:0002446","neutrophil mediated immunity",413,-0.527170707397351,-1.73005868466178,1.10158849060345e-05,0.000862771263595759,0.00073337948178854,3063,"tags=34%, list=19%, signal=28%","SLC2A3/APEH/ATG7/HEBP2/RHOA/MAPK1/IMPDH1/DSN1/LAMTOR3/ARL8A/PFKL/VAPA/CSNK2B/RAB5B/PSMD2/SNAP23/SDCBP/WDR1/FAF2/DIAPH1/CSTB/PDXK/GMFG/AGA/PSMD7/DBNL/PRDX4/ORM1/SVIP/IST1/DNASE1L1/PA2G4/COPB1/PSMD6/AP1M1/ERP44/ENPP4/PGM1/LGALS3/CKAP4/ACTR2/LAMTOR2/SIRPB1/ANXA3/RAB18/PSMD13/SURF4/CD63/PAFAH1B2/RAB5C/MOSPD2/TNFAIP6/NIT2/CMTM6/CRACR2A/GSTP1/RAB14/TUSC2/KPNB1/HMOX2/GOLGA7/CTSB/MGST1/RAB7A/STBD1/VPS35L/KCMF1/NRAS/CANT1/TCIRG1/QPCT/XRCC6/TSPAN14/PPIE/SRP14/IDH1/EEF1A1/SERPINB6/B2M/S100A11/PLAUR/MLEC/ACLY/PSMD12/IMPDH2/CTSC/NFKB1/PGAM1/TOLLIP/CCT8/RAC1/GLB1/LAMTOR1/TUBB/CPPED1/HSP90AA1/CAP1/ATP6V0C/RAB10/PSMD3/ARPC5/COTL1/EEF2/ILF2/GLA/TXNDC5/PSMA2/PSMC2/GDI2/XRCC5/ATP6V1D/COMMD3/DYNLT1/TRAPPC1/PSMD11/PKM/PSMD14/DYNLL1/ABCA13/PSMB1/NME2/PPIA/HSP90AB1/PSMB7/PSMA5/COMMD9/HSPA8/CCT2/PLAU/PNP/F2RL1/GLIPR1/ANXA2/DOCK2/ACPP/PTPRC/VNN1/PRSS3/HP"
