,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,entrez,genename
ENSG00000173349.6,54.4965460157909,-8.41144704557841,2.74452490894037,1.22852351331589e-11,1.05929439935662e-08,SFT2D3,84826,SFT2 domain containing 3
ENSG00000147614.4,188.352076999302,-8.38257049385708,1.30313190489676,3.0154947807869e-12,3.38539205377676e-09,ATP6V0D2,245972,ATPase H+ transporting V0 subunit d2
ENSG00000125538.12,296.430557072956,-8.18796683801922,1.26076078910382,3.01404569383082e-12,3.38539205377676e-09,IL1B,3553,interleukin 1 beta
ENSG00000277991.4,44.0261185380984,-7.58661807888413,3.4766994010226,7.71334177594258e-05,0.00414597129120405,LOC102723360,102723360,uncharacterized LOC102723360
ENSG00000257017.9,34.5160629878182,-7.19436601122822,2.20375474917705,1.06071417702602e-05,0.000881542938930779,HP,3240,haptoglobin
ENSG00000231023.7,4.34702065414933,-6.84319441181228,2.83398309163954,6.44977188967147e-05,0.00357832652774427,LINC00326,285735,long intergenic non-protein coding RNA 326
ENSG00000169429.11,2764.69080021127,-6.78872922308831,1.18829191791127,5.04698113079072e-10,2.6780058338611e-07,CXCL8,3576,C-X-C motif chemokine ligand 8
ENSG00000166670.10,419.221409419345,-6.74771829040399,1.59534223495065,2.98149421107016e-07,5.09909431437073e-05,MMP10,4319,matrix metallopeptidase 10
ENSG00000188611.15,57.7469724314938,-6.17937378203544,1.22514095757828,1.29021914291622e-08,4.10766076053973e-06,ASAH2,56624,N-acylsphingosine amidohydrolase 2
ENSG00000168032.10,6.39183555554434,-5.62791969285743,2.81143158921733,0.000530315900229025,0.0168836265220607,ENTPD3,956,ectonucleoside triphosphate diphosphohydrolase 3
ENSG00000157445.15,173.487463666519,-5.57972578237229,0.854576292906783,2.29998554659680e-12,2.97474380632964e-09,CACNA2D3,55799,calcium voltage-gated channel auxiliary subunit alpha2delta 3
ENSG00000243742.5,1906.24875375428,-5.202764398596,1.07163440643073,4.70851887938941e-08,1.13300104290796e-05,RPLP0P2,113157,ribosomal protein lateral stalk subunit P0 pseudogene 2
ENSG00000273143.2,48.2522726673259,-5.13993768109757,1.32526556464715,3.04050309209054e-06,0.000334681760572988,NA,NA,NA
ENSG00000104237.11,8.61706084254477,-5.02421608111606,1.27139653751662,1.96551486076305e-06,0.000243559069033716,RP1,6101,RP1 axonemal microtubule associated
ENSG00000181634.8,990.608987767716,-4.87512385348446,1.35919290519767,1.21628146051427e-05,0.000994850930588236,TNFSF15,9966,TNF superfamily member 15
ENSG00000228981.3,7.05111186619065,-4.84742629272767,2.78260111141196,0.000790268694168558,0.0227051761274402,NA,NA,NA
ENSG00000214203.4,5.74768896024022,-4.78169070613378,2.43489628349407,0.000331754961414518,0.0122595306634143,NA,NA,NA
ENSG00000132185.16,58.4930435894273,-4.68648884230203,1.34496099526229,1.81385148807725e-05,0.00132635486552193,FCRLA,84824,Fc receptor like A
ENSG00000106526.10,30.0702642586436,-4.63548587953038,1.89494466741659,0.000349901803390272,0.0126367677475712,ACTR3C,653857,actin related protein 3C
ENSG00000127325.19,19.7254963172461,-4.49610008315966,1.14050375004807,2.30674366635492e-06,0.000271225871770163,BEST3,144453,bestrophin 3
ENSG00000170044.8,5.45162606269793,-4.46515375143919,2.11187104921309,0.000677258654505496,0.0201657418652327,ZPLD1,131368,zona pellucida like domain containing 1
ENSG00000215866.8,2.7785401694163,-4.46445825735672,2.02373118893592,0.000825469971791473,0.0234003775291134,LINC01356,100996702,long intergenic non-protein coding RNA 1356
ENSG00000142698.15,17.4371424603163,-4.41265435137887,2.60536696832768,0.00135633038629276,0.0325236396453563,C1orf94,84970,chromosome 1 open reading frame 94
ENSG00000181333.12,13.4110497689106,-4.38600529649267,1.55380109768085,6.36034238398013e-05,0.00354773383542008,HEPHL1,341208,hephaestin like 1
ENSG00000169508.7,53.3732828444318,-4.2485854148181,1.63232654268336,0.000267642582292407,0.0106103363945576,GPR183,1880,G protein-coupled receptor 183
